Тип работ;Наименование работы;Цена;Единица измерения;Иерархия
Строительные работы;Земляные работы;1500;м3;Строительство > Общестроительные работы > Земляные работы
Строительные работы;Фундаментные работы;2800;м3;Строительство > Общестроительные работы > Фундаментные работы
Отделочные работы;Штукатурные работы;450;м2;Строительство > Отделочные работы > Штукатурные работы
Отделочные работы;Малярные работы;320;м2;Строительство > Отделочные работы > Малярные работы
Инженерные системы;Вентиляция;1800;м2;Строительство > Инженерные системы > Вентиляция
Инженерные системы;Отопление;2200;м2;Строительство > Инженерные системы > Отопление
Электромонтажные работы;Прокладка кабеля;120;м.п.;Строительство > Электромонтаж > Прокладка кабеля
Электромонтажные работы;Монтаж розеток;350;шт.;Строительство > Электромонтаж > Монтаж розеток
Спецработы;Гидроизоляция;680;м2;Строительство > Спецработы > Гидроизоляция
Спецработы;Теплоизоляция;520;м2;Строительство > Спецработы > Теплоизоляция
Спецработы;Пароизоляция;480;м2;Строительство > Спецработы > Пароизоляция
Отделочные работы;Покраска стен;280;м2;Строительство > Отделочные работы > Покрасочные работы
Отделочные работы;Покраска потолков;320;м2;Строительство > Отделочные работы > Покрасочные работы
Инженерные системы;Водоснабжение;1900;м2;Строительство > Инженерные системы > Водоснабжение
Инженерные системы;Канализация;2100;м2;Строительство > Инженерные системы > Канализация
