Тип работ;Наименование работы;Цена;Единица измерения
Электромонтажные работы;монтаж розетки (220 В);500;руб.
Электромонтажные работы;монтаж выключателя (220 В);500;руб.
Электромонтажные работы;монтаж электрического полотенцесушителя;2000;руб.
Электромонтажные работы;монтаж точечного светильника;450;руб.
Электромонтажные работы;монтаж бра;500;руб.
Электромонтажные работы;монтаж/замена счетчика электроэнергии;2500;руб.
Электромонтажные работы;монтаж/сборка электрического щита;3500;руб.
Электромонтажные работы;монтаж люстры (со сборкой);2000;руб.
Электромонтажные работы;подключение люстры (без сборки);500;руб.
Электромонтажные работы;прокладка электрокабеля;100;руб./пог.м
Электромонтажные работы;прокладка кабеля в гофре;150;руб./пог.м
Электромонтажные работы;прокладка кабеля в кабель-канале;150;руб./пог.м
Электромонтажные работы;подключение кабеля к распределительному щиту;1000;руб.
Электромонтажные работы;подключение силового кабеля (работы на высоте);3000;руб.
Электромонтажные работы;установка точки питания 380 В;1000;руб.
Электромонтажные работы;установка устройства защитного отключения (УЗО);500;руб.
Электромонтажные работы;установка ящика для счетчика электроэнергии;750;руб.
Электромонтажные работы;замена автомата (I, II, III – полюсного);500;руб.
Дополнительные электромонтажные работы;выезд специалиста (черта города);500;руб./км
Дополнительные электромонтажные работы;выезд специалиста (меж. город);40;руб./км
Дополнительные электромонтажные работы;поиск повреждения в открытой проводке;750;руб./час
Дополнительные электромонтажные работы;поиск повреждения в закрытой проводке (в стене), со вскрытием;1500;руб./час
Дополнительные электромонтажные работы;работа под напряжением (если нет возможности отключить общее напряжение);1000;руб.
Дополнительные электромонтажные работы;штробление стен для монтажа электрокабеля;500;руб./пог.м
Дополнительные электромонтажные работы;высверливание в стене отверстия (под розетку, выключатель, распределительную коробку);500;руб.
Прочие строительные работы;Штукатурка стен цементно-песчаным раствором без маячков;300;руб/м2
Прочие строительные работы;Устройство фундаментов из буронабивных свай с армированием;2000;руб/шт.
Прочие строительные работы;Разработка грунта вручную;1200;руб/м2
Прочие строительные работы;Перемещение грунта, щебня, песка на расстояние до 30 м;600;руб/м3
Прочие строительные работы;Установка опалубки и арматурных каркасов ленточных фундаментов сечением 500x400 мм с приёмкой бетона;4500;р/м3
Прочие строительные работы;Кладка стен кирпичных т. 200-250 мм;900,р/м3
Прочие строительные работы;Кладка стен из облицовочного кирпича;2000;р/м3
